1,52:48.780N,001:54.594W,0F,T,ABB,Abbots Bromley*Z50
2,51:48.575N,003:00.587W,0F,T,ABE,Abergavenny*Z50
3,51:41.461N,001:19.019W,0F,T,ABG,Abingdon A/F*Z50
4,52:38.070N,001:32.511E,0F,T,ACL,Acle*Z50
5,52:12.438N,001:52.640W,0F,T,ALC,Alcester*Z50
6,53:06.072N,001:19.466W,0F,T,ALF,Alfreton*Z50
7,53:03.475N,001:25.048W,0F,T,ALS,Alfreton South*Z50
9,51:09.071N,000:58.052W,0F,T,ALT,Alton*Z50
10,51:07.931N,000:59.689W,0F,T,ALW,Alton Southwest*Z50
11,52:58.833N,001:53.671W,0F,T,ATW,Alton Towers*Z50
12,50:53.816N,000:32.538W,0F,T,AMB,Amberley*Z50
13,51:12.066N,001:30.439W,0F,T,AND,Andover*Z50
14,51:52.547N,001:57.853W,0F,T,ADF,Andoversford*Z50
15,54:35.272N,002:29.940W,0F,T,APP,Appleby*Z50
16,50:51.413N,000:33.303W,0F,T,ARU,Arundel*Z50
17,53:00.021N,001:41.822W,0F,T,ASH,Ashbourne*Z50
18,51:33.833N,001:37.094W,0F,T,ASB,Ashbury*Z50
19,51:08.229N,000:54.640E,0F,T,ASE,Ashford East*Z50
20,51:04.092N,000:51.279E,0F,T,ASS,Ashford South*Z50
21,52:55.183N,002:23.440W,0F,T,ASY,Ashley*Z50
22,51:42.358N,002:07.916W,600F,AT,AST,Aston Down*Z100
23,52:34.821N,001:33.239W,0F,T,ATH,Atherstone*Z50
24,52:31.279N,001:00.638E,0F,T,ATT,Attleborough*Z50
25,51:25.159N,001:52.482W,0F,T,AVE,Avebury*Z50
26,50:46.791N,003:00.268W,0F,T,AXM,Axminster*Z50
27,51:49.990N,000:51.774W,0F,T,AYL,Aylesbury*Z50
28,51:13.686N,001:12.544E,0F,T,ALE,Aylesham*Z50
29,51:32.636N,002:16.826W,495F,AT,BAD,Badmt 123.17*Z100
30,52:54.780N,003:35.622W,0F,T,BAL,Bala*Z50
31,52:04.355N,001:18.784W,0F,T,BAN,Banbury*Z50
32,53:00.050N,002:54.687W,0F,T,BAG,Bangor*Z50
33,53:12.475N,000:20.196W,0F,T,BDY,Bardney*Z50
34,54:32.555N,001:55.676W,0F,T,BAR,Barnard Castle*Z50
35,51:02.180N,004:02.371W,0F,T,BPL,Barnstaple *Z50
36,54:07.444N,003:15.977W,47F,AT,BRW,Barrow*Z100
37,51:15.482N,001:03.893W,0F,T,BAS,Basingstoke*Z50
38,51:25.094N,002:24.312W,0F,T,BAT,Bath Racecourse*Z50
39,51:27.205N,002:22.155W,0F,T,BHN,Bath North*Z50
40,51:23.868N,002:19.385W,0F,T,BAE,Bath East*Z50
41,50:54.772N,000:29.580E,0F,T,BTL,Battle*Z50
42,50:48.453N,002:44.278W,0F,T,BEA,Beaminster*Z50
43,52:07.785N,000:28.645W,0F,T,BED,Bedford Bridge*Z50
44,52:13.849N,000:27.788W,293F,AT,BGC,Bedford Airfield *Z100
45,55:08.584N,002:15.718W,0F,T,BEL,Bellingham*Z50
46,52:53.247N,000:46.038W,0F,T,BVR,Belvoir*Z50
47,52:08.928N,003:34.686W,0F,T,BEU,Beulah*Z50
48,53:50.575N,000:28.642W,0F,T,BEV,Beverley*Z50
49,51:04.627N,000:23.873E,0F,T,BEW,Bewl Water*Z50
50,51:54.936N,001:08.198W,267F,AT,BIC,Bicester C/Twr*Z100
51,51:52.624N,001:05.601W,0F,T,BIE,Bicester East*Z50
52,51:56.907N,001:12.316W,0F,T,BNW,Bicester North West*Z50
53,51:53.966N,001:08.304W,0F,T,BIB,Bicester Rail Bridge*Z50
